grid,n,f1,f1_std,assd_px,assd_px_std,hd95_px,hd95_px_std,bf1_5,bf1_5_std
native,63,0.9082,0.0469,2.5210,1.3703,9.5315,9.2055,0.9166,0.0760
320,63,0.9077,0.0473,0.9506,0.4920,3.3870,2.9614,0.9763,0.0394
