fraction,num_train,mean_f1,mean_iou
25,66,0.8961626887321472,0.8158824443817139
50,111,0.902895450592041,0.8262348771095276
75,174,0.9080749154090881,0.8349878191947937
100,218,0.9074867963790894,0.8338726758956909
